code,description,clinicallyActionable,highRisk
1000,system_error,1,1
1001,depleted_battery,1,1
1002,improper_shutdown,0,0
1003,door_not_fully_latched,1,0
1004,tube_load_error,1,0
1008,door_open_while_pump_running,1,0
1009,slide_clamp_detected,0,0
1010,insert_slide_clamp,0,0
1011,remove_primary_clamp,0,0
1012,infusion_complete,1,0
1013,secondary_complete,1,0
1014,flush_complete,1,0
1016,downstream_occlusion,1,1
1017,upstream_occlusion,1,1
1018,air_in_line,0,0
1019,air_still_detected,1,1
1020,max_air_detected,1,1
1021,value_entry_timeout,0,0
1022,remove_clamp,0,0
1023,very_low_battery,1,1
1024,battery_error,1,1
1025,check_battery,1,0
1026,close_door_to_power_off,0,0
1027,low_battery,0,0
1028,bag_near_empty,0,0
1030,inactivity,0,0
1031,unable_to_run,1,1
1032,non_interrupting_system_error,0,0
1033,standby_complete,0,0
999,unknown_alarm,1,1
